Date,Open,High,Low,Close,Volume
28-Oct-16,130.50,132.97,129.93,131.29,24545547
27-Oct-16,131.74,131.80,129.27,129.69,16741393
26-Oct-16,131.64,132.26,130.94,131.04,13084731
25-Oct-16,133.50,133.50,132.22,132.29,13336787
24-Oct-16,132.72,133.40,132.15,133.28,17470227
21-Oct-16,129.78,132.13,129.70,132.07,19088794
20-Oct-16,130.07,130.66,129.50,130.00,13167503
19-Oct-16,128.74,130.47,128.60,130.11,16752321
18-Oct-16,128.68,129.39,128.01,128.57,13503967
17-Oct-16,128.20,128.47,127.32,127.54,11351681
14-Oct-16,128.49,128.95,127.58,127.88,13345292
13-Oct-16,128.21,128.25,126.75,127.82,17139306
12-Oct-16,129.01,129.66,128.46,129.05,11072991
11-Oct-16,130.23,130.64,128.23,128.88,17537928
10-Oct-16,129.68,130.70,129.20,130.24,15138720
7-Oct-16,129.04,129.25,128.33,128.99,12804420
6-Oct-16,128.43,129.06,128.08,128.74,11682729
5-Oct-16,128.25,128.80,127.83,128.47,12386753
4-Oct-16,129.17,129.28,127.55,128.19,14307548
3-Oct-16,128.38,129.09,127.80,128.77,13156943
30-Sep-16,128.03,128.59,127.45,128.27,18402945
29-Sep-16,129.18,129.29,127.55,128.09,14532241
28-Sep-16,129.21,129.47,128.40,129.23,12047636
27-Sep-16,127.61,129.01,127.43,128.69,15637111
26-Sep-16,127.37,128.16,126.80,127.31,15064940
23-Sep-16,127.56,128.60,127.30,127.96,28326266
22-Sep-16,130.50,130.73,129.56,130.08,15538307
21-Sep-16,129.13,130.00,128.39,129.94,14068336
20-Sep-16,128.65,129.17,128.03,128.64,11083808
19-Sep-16,129.91,129.94,128.26,128.65,14958794
16-Sep-16,128.20,129.18,128.20,129.07,24119174
15-Sep-16,127.98,129.10,127.67,128.35,15111838
14-Sep-16,126.89,128.80,126.89,127.77,15720388
13-Sep-16,128.03,128.35,126.66,127.21,18016152
12-Sep-16,125.96,128.76,125.75,128.69,21252752
9-Sep-16,129.71,129.95,127.10,127.10,27100679
8-Sep-16,130.92,131.08,129.81,130.27,15676595
7-Sep-16,130.04,131.98,129.95,131.05,27990796
6-Sep-16,126.67,129.94,126.47,129.73,26278407
2-Sep-16,126.85,126.86,126.00,126.51,12118773
1-Sep-16,126.38,126.63,125.60,126.17,13536125
31-Aug-16,125.60,126.22,125.10,126.12,14200636
30-Aug-16,126.60,126.60,125.15,125.84,17804286
29-Aug-16,124.35,126.73,124.35,126.54,15925900
26-Aug-16,124.05,125.19,123.91,124.96,17504825
25-Aug-16,123.12,124.37,123.10,123.89,10730811
24-Aug-16,124.47,124.69,123.09,123.48,12243719
23-Aug-16,124.51,125.09,124.25,124.37,13309452
22-Aug-16,123.33,124.83,123.11,124.15,14386361
19-Aug-16,123.60,124.16,123.28,123.56,11688265
18-Aug-16,124.01,124.26,123.64,123.91,12400816
17-Aug-16,123.66,124.38,122.85,124.37,13794179
16-Aug-16,123.50,123.92,122.78,123.30,14222410
15-Aug-16,124.91,124.92,123.70,123.90,19295130
12-Aug-16,124.70,125.00,124.18,124.88,12158955
11-Aug-16,125.20,125.38,124.75,124.90,11729519
10-Aug-16,125.07,125.48,124.54,124.88,10670148
9-Aug-16,125.34,126.09,124.53,125.06,19620967
8-Aug-16,125.25,125.45,124.55,125.26,15233929
5-Aug-16,124.98,125.84,124.62,125.15,20184035
4-Aug-16,122.94,124.79,122.51,124.36,21065974
3-Aug-16,123.09,123.92,122.31,122.51,18525332
2-Aug-16,124.06,124.80,122.07,123.09,23968414
1-Aug-16,123.85,124.58,122.86,124.31,25006850
29-Jul-16,124.65,125.84,123.71,123.94,35058803
28-Jul-16,127.52,128.33,123.63,125.00,78955758
27-Jul-16,122.42,125.00,121.51,123.34,52654239
26-Jul-16,122.00,122.07,120.75,121.22,17611964
25-Jul-16,121.39,121.85,117.78,121.63,18487449
22-Jul-16,119.90,121.01,119.31,121.00,18422410
21-Jul-16,121.92,122.10,120.25,120.61,17801663
20-Jul-16,121.25,122.20,120.56,121.92,20046452
19-Jul-16,118.99,120.85,118.66,120.61,21541292
18-Jul-16,117.32,119.61,116.89,119.37,20868367
15-Jul-16,117.74,118.28,116.58,116.86,16645964
14-Jul-16,117.50,117.64,116.70,117.29,14579736
13-Jul-16,118.39,118.40,116.68,116.78,16207662
12-Jul-16,118.63,118.72,117.57,117.93,15217700
11-Jul-16,117.71,118.70,117.50,117.87,17711570
8-Jul-16,116.43,117.50,115.85,117.24,18142597
7-Jul-16,116.63,116.97,115.36,115.85,16630201
6-Jul-16,113.36,116.79,112.97,116.70,24337586
5-Jul-16,113.94,114.11,112.97,114.00,14207037
1-Jul-16,114.20,115.13,113.81,114.19,14980023
30-Jun-16,114.67,115.18,113.67,114.28,23192716
29-Jun-16,113.37,114.25,113.04,114.16,20968273
28-Jun-16,110.63,112.75,110.55,112.70,26813842
27-Jun-16,111.57,111.57,108.23,108.97,36409606
24-Jun-16,111.01,113.68,111.00,112.08,40643130
23-Jun-16,114.37,115.09,113.54,115.08,16176895
22-Jun-16,114.65,114.74,113.61,113.91,14846329
21-Jun-16,114.12,115.21,113.97,114.38,19166269
20-Jun-16,113.77,114.72,112.75,113.37,20785390
17-Jun-16,114.42,114.43,112.56,113.02,24644308
16-Jun-16,113.87,114.50,112.94,114.39,19236255
15-Jun-16,115.30,115.44,114.07,114.60,19819432
14-Jun-16,114.07,114.95,113.58,114.94,17618479
13-Jun-16,115.00,115.48,113.31,113.95,31718239
10-Jun-16,117.54,118.11,116.26,116.62,18510826
9-Jun-16,118.13,118.68,117.71,118.56,13859240
8-Jun-16,117.76,118.60,117.27,118.39,14505596
7-Jun-16,119.24,119.30,117.67,117.76,17103023
6-Jun-16,118.62,119.43,118.36,118.79,12744676
3-Jun-16,118.98,118.98,117.86,118.47,14135114
2-Jun-16,118.69,119.44,118.22,118.93,13228310
1-Jun-16,118.50,119.08,117.82,118.78,15029494
31-May-16,119.46,120.10,118.12,118.81,23547597
27-May-16,119.56,119.85,119.01,119.38,13464434
26-May-16,118.24,119.76,117.92,119.47,18191472
25-May-16,118.13,118.66,117.38,117.89,20019778
24-May-16,116.24,117.73,116.12,117.70,20074093
23-May-16,117.42,117.60,115.94,115.97,20367390
20-May-16,116.96,117.99,116.95,117.35,18870608
19-May-16,117.05,117.49,115.88,116.81,20485379
18-May-16,116.80,118.27,116.73,117.65,21571824
17-May-16,118.82,119.01,117.20,117.35,21269720
16-May-16,119.38,119.61,117.35,118.67,31178289
13-May-16,120.38,120.64,119.68,119.81,18047101
12-May-16,119.98,120.84,118.90,120.28,21636556
11-May-16,120.41,121.08,119.42,119.52,21927392
10-May-16,119.62,120.50,119.00,120.50,22803690
9-May-16,119.54,120.28,118.90,119.24,21077084
6-May-16,117.16,119.64,117.11,119.49,26216236
5-May-16,118.04,118.98,117.25,117.81,21999237
4-May-16,116.61,118.30,116.57,118.06,23380209
3-May-16,117.52,118.16,117.02,117.43,23746203
2-May-16,117.83,118.73,116.57,118.57,27769280
29-Apr-16,116.82,117.84,115.84,117.58,37031156
28-Apr-16,119.58,120.79,116.23,116.73,86746016
27-Apr-16,107.94,108.94,106.31,108.89,44036820
26-Apr-16,110.49,110.50,108.15,108.76,22189916
25-Apr-16,109.87,110.67,109.07,110.10,20979671
22-Apr-16,111.21,111.75,109.01,110.56,38330597
21-Apr-16,112.55,114.04,112.31,113.44,20409388
20-Apr-16,112.43,113.27,111.56,112.42,20998319
19-Apr-16,111.10,112.45,109.16,112.29,30147644
18-Apr-16,109.74,110.81,109.20,110.45,21092654
15-Apr-16,110.79,110.97,109.20,109.64,20763396
14-Apr-16,110.62,112.04,110.26,110.84,28430914
13-Apr-16,112.23,112.65,106.52,110.51,88113011
12-Apr-16,109.34,111.16,108.99,110.61,26175943
11-Apr-16,110.70,110.91,108.77,108.99,39563863
8-Apr-16,114.25,114.33,109.90,110.63,48424776
7-Apr-16,113.79,114.89,113.07,113.64,20324759
6-Apr-16,112.47,113.81,112.42,113.71,20522412
5-Apr-16,112.11,113.32,111.90,112.22,22752484
4-Apr-16,114.07,114.55,111.61,112.55,48382180
1-Apr-16,113.75,116.17,113.35,116.06,24725954
31-Mar-16,114.70,115.01,113.77,114.10,21138743
30-Mar-16,116.73,116.99,114.36,114.70,33180317
29-Mar-16,113.83,116.32,113.64,116.14,29765753
28-Mar-16,113.32,114.59,112.95,113.69,21312750
24-Mar-16,112.13,113.09,111.68,113.05,17063766
23-Mar-16,112.01,113.19,112.00,112.54,18468742
22-Mar-16,111.36,112.88,111.17,112.25,18957831
21-Mar-16,111.66,112.37,111.03,111.85,18394520
18-Mar-16,111.56,112.42,110.27,111.45,36216958
17-Mar-16,112.15,112.69,110.73,111.02,24204773
16-Mar-16,110.49,112.50,110.10,112.18,24619730
15-Mar-16,109.11,110.83,108.84,110.67,17618460
14-Mar-16,109.28,110.33,108.77,109.89,17236054
11-Mar-16,108.48,109.42,107.92,109.41,20581320
10-Mar-16,107.91,108.66,105.77,107.32,24780710
9-Mar-16,106.70,107.51,105.49,107.51,20449881
8-Mar-16,104.78,107.37,104.40,105.93,25493546
7-Mar-16,108.07,108.07,104.72,105.73,31436401
4-Mar-16,110.05,110.05,107.93,108.39,24872895
3-Mar-16,110.25,110.30,108.54,109.58,21333496
2-Mar-16,109.68,110.55,108.77,109.95,25641627
1-Mar-16,107.83,109.82,107.60,109.82,26694696
29-Feb-16,107.60,108.91,106.75,106.92,32243645
26-Feb-16,108.70,109.45,107.16,107.92,26578891
25-Feb-16,107.11,108.07,105.61,108.07,29796180
24-Feb-16,104.21,106.95,102.74,106.88,34239396
23-Feb-16,106.85,107.47,105.12,105.46,25204873
22-Feb-16,105.49,108.25,105.34,107.16,35630883
19-Feb-16,102.55,105.02,102.06,104.57,32337444
18-Feb-16,105.80,106.00,103.03,103.47,29374587
17-Feb-16,101.94,105.72,100.40,105.20,43852623
16-Feb-16,103.80,103.93,100.24,101.61,45438324
12-Feb-16,103.74,104.24,101.09,102.01,36038104
11-Feb-16,99.60,105.11,98.88,101.91,43493102
10-Feb-16,101.55,103.25,100.24,101.00,44943948
9-Feb-16,97.14,102.40,96.82,99.54,62580050
8-Feb-16,100.41,102.68,97.46,99.75,71016537
5-Feb-16,109.51,109.58,103.18,104.07,76522716
4-Feb-16,111.80,111.94,109.25,110.49,38648485
3-Feb-16,115.27,115.34,109.75,112.69,56848084
2-Feb-16,114.80,117.59,113.20,114.61,59644925
1-Feb-16,112.27,115.72,112.01,115.09,45840867
29-Jan-16,108.99,112.84,108.84,112.21,62357459
28-Jan-16,107.20,110.34,104.81,109.11,107084072
27-Jan-16,97.79,97.85,94.23,94.45,48311872
26-Jan-16,97.76,97.88,95.66,97.34,26637412
25-Jan-16,98.72,99.48,96.93,97.01,32319141
22-Jan-16,96.41,98.07,95.49,97.94,30331442
21-Jan-16,94.91,95.99,92.62,94.16,30468830
20-Jan-16,92.83,95.00,89.37,94.35,58982367
19-Jan-16,96.53,97.42,93.92,95.26,30620565
15-Jan-16,93.98,96.38,93.54,94.97,45935550
14-Jan-16,95.85,98.87,92.45,98.37,48488509
13-Jan-16,100.58,100.58,95.21,95.44,33091576
12-Jan-16,99.00,99.96,97.55,99.37,28395390
11-Jan-16,97.91,98.60,95.39,97.51,29932385
8-Jan-16,99.88,100.50,97.03,97.33,35402298
7-Jan-16,100.50,101.43,97.30,97.92,45172906
6-Jan-16,101.13,103.77,100.90,102.97,25096183
5-Jan-16,102.89,103.71,101.66,102.73,23258238
4-Jan-16,101.95,102.24,99.75,102.22,37717312
31-Dec-15,106.00,106.17,104.62,104.66,18391064
30-Dec-15,107.00,107.25,106.06,106.22,13115007
29-Dec-15,106.42,107.74,106.25,107.26,17179901
28-Dec-15,105.02,105.98,104.53,105.93,13069733
24-Dec-15,104.74,105.32,104.50,105.02,6512134
23-Dec-15,105.89,106.11,103.86,104.63,19599673
22-Dec-15,105.22,105.66,104.81,105.51,14597122
21-Dec-15,104.91,105.15,103.60,104.77,16138786
18-Dec-15,106.08,106.59,103.97,104.04,35994199
17-Dec-15,107.49,107.75,106.13,106.22,21675686
16-Dec-15,105.37,107.09,104.19,106.79,22680547
15-Dec-15,105.30,105.80,104.28,104.55,21764331
14-Dec-15,102.28,104.74,101.46,104.66,24648093
11-Dec-15,104.15,104.34,101.91,102.12,26427727
10-Dec-15,105.05,106.40,104.41,105.42,17454312
9-Dec-15,106.18,106.44,103.55,104.60,23517268
8-Dec-15,104.00,106.91,103.95,106.49,20401791
7-Dec-15,106.48,106.83,104.66,105.61,15474890
4-Dec-15,104.75,107.73,104.11,106.18,21224721
3-Dec-15,103.95,106.85,103.35,104.38,23236485
2-Dec-15,107.00,107.92,105.79,106.07,24295162
1-Dec-15,104.83,107.15,104.50,107.12,22715616
30-Nov-15,105.84,106.10,103.75,104.24,20008996
27-Nov-15,105.78,105.96,104.86,105.45,5912671
25-Nov-15,106.33,106.60,105.10,105.41,15150785
24-Nov-15,106.00,106.49,104.39,105.74,23462829
23-Nov-15,107.19,107.47,106.08,106.95,19733283
20-Nov-15,106.84,107.87,106.62,107.32,22085405
19-Nov-15,107.36,107.73,105.95,106.26,25477683
18-Nov-15,105.80,107.88,105.39,107.77,23679764
17-Nov-15,104.62,106.20,104.14,105.13,26649223
16-Nov-15,103.32,104.17,100.47,104.04,49140589
13-Nov-15,107.71,108.25,103.83,103.95,29438853
12-Nov-15,108.48,109.39,108.00,108.02,20763843
11-Nov-15,108.27,109.87,107.11,109.01,25003046
10-Nov-15,106.17,108.15,105.24,107.91,24409940
9-Nov-15,107.00,108.25,105.86,106.49,26326885
6-Nov-15,108.04,108.74,105.91,107.10,34898019
5-Nov-15,108.80,110.65,107.95,108.76,63013501
4-Nov-15,103.19,104.14,102.48,103.94,38606400
3-Nov-15,103.22,103.65,102.40,102.58,21096752
2-Nov-15,101.72,103.47,101.18,103.31,23876266
